farmer_id,subcounty,ward,lat,lon,gender,hh_size,education_yrs,age,farm_size_ha,maize_area_ha,bean_area_ha,irrigation,land_tenure,seed_type,planting_week,fert_rate_kgha,extension_access,farmer_group,weeding_count,chirps_rain_mm,nasa_tmax_c,nasa_tmin_c,nasa_srad,ndvi_mean,soil_ph,soil_soc,soil_clay_pct,soil_sand_pct,maize_yield_tha,bean_yield_tha,perceived_yield_rating
F046,Mwingi Central,Ngomeni,-0.90621,38.09037,0,6,8,40,0.85,0.56,0.1,0,3,1,43,74.0,0,0,2,413.7,29.54446067233227,18.27179133011886,17.508354214114764,0.582,6.09,31.7,39.2,39.3,2.857,1.706,4
F047,Mwingi Central,Kyuso,-0.93052,38.14627,1,4,7,59,1.75,1.13,0.19,1,1,0,41,0.0,1,0,1,296.6,34.63859980126421,16.762244882512004,19.14950505072605,0.436,6.2,15.83,59.2,30.7,2.14,1.186,3
F048,Mwingi Central,Nguutani,-0.87629,38.08573,0,5,7,53,2.88,1.99,0.4,0,1,1,42,21.5,0,0,2,207.8,35.367553571334625,18.020965277644397,22.659402904754455,0.336,6.04,11.27,35.7,40.5,1.588,1.39,3
F049,Mwingi Central,Ngomeni,-1.01049,37.96048,0,3,12,59,1.33,0.7,0.14,0,1,1,43,0.0,0,1,2,310.6,31.707930706611094,16.721721305769343,21.363612599461792,0.402,6.12,8.0,15.0,65.0,2.129,1.253,2
F050,Mwingi Central,Nguutani,-0.98427,38.16444,0,4,12,45,1.97,1.0,0.33,0,1,0,46,0.0,0,1,3,328.7,33.653249175983404,18.615870627570015,19.44355598375686,0.463,6.84,22.74,52.6,22.6,1.497,1.059,2
F051,Mwingi Central,Ngomeni,-0.87588,38.18926,0,4,8,47,0.38,0.2,0.1,0,1,0,42,0.0,0,1,2,248.7,34.213603496466526,15.295177126388277,21.452965487005983,0.356,5.97,38.36,43.0,36.0,1.268,0.923,3
F052,Mwingi Central,Nguutani,-0.98613,38.13611,0,3,7,66,0.95,0.6,0.12,0,1,1,42,125.3,0,1,2,261.0,32.29923338487042,19.113869318913586,20.17154677603957,0.396,5.86,10.56,44.6,33.8,2.268,1.19,3
F053,Mwingi Central,Kyuso,-0.83312,37.9841,1,6,4,33,1.33,0.77,0.14,0,1,1,43,18.5,0,0,2,256.4,30.061856264020697,15.563705907977303,16.57526743593678,0.377,6.42,21.26,28.0,52.2,2.028,1.104,3
F054,Mwingi Central,Ngomeni,-0.83164,38.00239,0,6,4,42,0.67,0.46,0.1,0,3,0,43,0.0,0,0,1,266.1,36.00698069029406,17.77374849201259,19.137155952029225,0.371,5.66,8.27,37.6,45.3,0.964,1.051,2
F055,Mwingi Central,Kyuso,-0.83254,37.96826,0,7,10,53,1.34,1.07,0.1,0,1,1,42,0.0,0,0,3,282.3,31.636452249156644,19.407381934065523,19.317101010046336,0.355,5.75,12.46,39.9,41.5,1.585,1.263,2
F056,Mwingi Central,Ngomeni,-0.99164,38.1393,0,4,8,41,2.14,1.32,0.27,0,3,0,45,23.3,1,1,3,251.3,31.159903507729616,19.924064080722555,21.404225842314904,0.402,5.76,18.8,35.6,53.7,1.547,0.852,3
F057,Mwingi Central,Kyuso,-0.92462,38.18416,0,2,14,37,0.43,0.29,0.1,0,1,1,44,0.0,0,1,2,234.4,36.10534224893464,19.710246575990304,18.08382374849476,0.363,5.9,6.93,20.7,59.9,1.521,1.092,2
F058,Mwingi Central,Kyuso,-0.96454,38.1082,0,5,10,51,0.62,0.39,0.1,0,3,1,42,26.7,0,1,2,297.8,33.842129288623646,19.075521046052984,17.218338560848075,0.507,5.92,16.3,60.0,20.6,2.33,1.386,4
F059,Mwingi Central,Ngomeni,-0.86538,38.15465,1,5,7,60,1.33,1.0,0.11,1,2,0,42,23.5,0,0,2,281.8,33.06634616732763,16.485308032554514,19.386132608032984,0.352,6.28,10.82,46.4,30.2,2.047,1.325,3
F060,Mwingi Central,Ngomeni,-0.81054,37.99191,1,8,8,42,1.54,1.19,0.13,0,1,1,43,20.9,1,1,3,270.4,30.364326540514387,20.265095038760165,17.886438740013617,0.425,5.86,22.25,42.2,40.2,2.463,1.325,4
F061,Mwingi Central,Ngomeni,-0.86885,38.08313,0,7,8,41,1.8,1.37,0.15,0,3,0,44,18.2,0,0,1,293.7,34.266168928069085,16.5264775438908,18.69122695104091,0.41,6.3,15.14,51.1,37.7,1.547,1.109,3
F062,Mwingi Central,Kivou,-0.92936,37.94671,1,4,8,36,1.27,1.01,0.1,1,0,1,40,34.4,0,0,1,221.6,37.0,20.470236476817785,19.297801067772184,0.454,6.35,26.3,44.4,41.0,2.039,1.526,3
F063,Mwingi Central,Nguutani,-0.95559,38.00054,1,3,10,40,1.54,0.78,0.28,0,3,1,43,0.0,0,0,2,301.8,34.43711686053279,19.62986856346707,18.542389590688863,0.449,5.74,14.3,31.2,49.0,1.461,1.332,3
F064,Mwingi Central,Kivou,-0.88456,38.14908,0,6,12,57,1.97,1.48,0.12,1,1,0,43,51.3,0,1,2,271.3,33.59139469184364,20.94602272653117,21.907956857132042,0.41,6.34,8.32,50.5,35.9,2.205,1.457,3
F065,Mwingi Central,Kivou,-1.0156,38.04844,1,5,12,44,0.95,0.69,0.1,0,0,0,42,44.2,0,0,2,300.8,34.08640415226941,18.544763271229336,23.035737765011053,0.417,6.37,7.82,46.5,39.3,1.373,1.211,2
F066,Mwingi Central,Kyuso,-0.89246,38.17884,1,6,7,34,0.86,0.49,0.1,0,1,0,43,19.0,1,1,1,308.0,31.778146267029207,17.02622460702016,21.657276857395537,0.392,5.3,6.33,31.6,46.1,1.448,0.906,3
F067,Mwingi Central,Ngomeni,-0.99403,38.11842,0,11,0,47,1.09,0.86,0.1,0,3,1,46,35.3,1,0,2,340.9,31.757168394895075,16.17322545651335,15.07200708711284,0.472,6.12,22.57,45.9,35.3,1.985,1.35,2
F068,Mwingi Central,Nguutani,-0.88656,38.3161,0,2,10,56,1.34,0.73,0.13,0,0,0,40,25.8,0,1,2,294.6,31.729019934680323,16.373157197768734,17.895065844245416,0.346,5.8,45.0,35.6,46.8,1.418,1.341,3
F069,Mwingi Central,Kyuso,-0.94127,38.07844,1,4,4,37,0.83,0.58,0.1,0,1,1,42,0.0,0,0,2,338.0,31.23511009814887,15.553805452507376,19.053369702419513,0.387,6.52,20.44,40.1,45.1,1.75,1.394,2
F070,Mwingi Central,Kivou,-0.95718,37.94342,1,5,7,28,0.96,0.54,0.16,1,2,0,42,0.0,0,0,3,275.5,31.72462129529276,20.195605250485816,15.0,0.449,5.79,37.94,44.0,35.0,1.902,1.41,3
F071,Mwingi Central,Ngomeni,-0.99199,38.06689,0,4,0,70,1.49,0.94,0.17,0,2,0,45,0.0,0,1,1,277.7,31.714364177052378,20.421350515458318,17.310270707126797,0.312,5.46,28.99,51.7,34.0,1.379,0.799,3
F072,Mwingi Central,Kyuso,-0.95497,37.98333,1,7,10,27,1.31,0.94,0.1,0,1,0,46,0.0,0,1,2,285.9,31.96169408056491,19.496659865462327,19.021425076918625,0.391,5.99,12.69,31.5,47.4,1.636,0.926,3
F073,Mwingi Central,Ngomeni,-0.89107,38.15795,1,11,4,39,1.08,0.72,0.12,0,1,1,42,19.8,0,1,3,324.8,31.90010833052378,18.440526358268098,18.377564797177346,0.39,5.64,30.96,41.6,47.3,2.496,1.311,4
F074,Mwingi Central,Kyuso,-0.85693,38.07378,1,7,8,46,0.46,0.29,0.1,0,0,1,44,17.9,1,1,2,318.4,33.034626085421344,22.0,19.521625443272296,0.416,6.34,12.95,58.2,18.8,2.23,1.465,3
F075,Mwingi Central,Ngomeni,-0.89315,38.05765,1,5,16,40,1.19,0.71,0.18,0,1,1,43,109.2,0,1,2,296.1,32.67334464005726,18.323332730664784,16.047929096807614,0.426,5.68,13.07,36.2,46.3,2.168,1.168,4
F076,Mwingi Central,Kivou,-0.83453,38.05883,1,2,0,43,0.7,0.53,0.1,0,1,1,43,40.5,0,0,3,234.8,32.868197397725744,18.89765025465901,18.34929412320791,0.411,5.99,14.82,40.0,43.4,2.161,1.403,4
F077,Mwingi Central,Nguutani,-0.75226,38.13663,0,4,0,50,2.06,1.12,0.32,0,3,1,42,0.0,0,1,2,317.6,35.84905463935786,18.413867276007586,19.87977437681645,0.497,6.62,15.17,58.1,22.7,1.895,1.349,3
F078,Mwingi Central,Kivou,-0.95271,38.02928,0,5,7,20,1.01,0.64,0.12,0,0,0,42,39.4,0,0,3,251.2,32.668815325176325,17.891045480365793,19.525503678562174,0.33,6.44,22.89,44.4,36.2,1.774,0.896,2
F079,Mwingi Central,Nguutani,-0.94441,38.13993,1,8,12,28,0.69,0.53,0.1,0,2,0,42,62.6,0,0,2,248.8,37.0,19.635754081695975,20.617233944119707,0.351,6.19,11.76,23.3,64.7,1.838,1.039,2
F080,Mwingi Central,Ngomeni,-1.0308,38.1641,1,8,7,44,1.16,0.87,0.1,0,0,0,43,0.0,1,0,2,238.8,33.27591698760975,17.35970595943186,20.471435904993832,0.568,5.95,25.65,30.0,48.7,1.508,1.007,2
F081,Mwingi Central,Kyuso,-0.84665,38.03921,0,7,8,39,2.41,1.49,0.3,0,1,1,40,0.0,0,1,2,286.3,31.51602890005776,17.23895991227365,18.482232578114587,0.395,6.15,25.47,44.9,41.0,2.186,1.259,3
F082,Mwingi Central,Kivou,-0.83904,37.98666,1,4,0,45,1.69,1.23,0.12,0,1,1,45,0.0,1,1,2,344.5,35.469083125903396,19.72664489373684,19.800297207687805,0.416,6.28,19.52,42.2,34.2,2.606,1.218,3
F083,Mwingi Central,Nguutani,-0.9907,38.02383,1,6,10,46,1.35,1.01,0.1,0,1,0,41,10.0,1,0,3,246.6,32.32504001104196,17.604304940187788,17.500017263262407,0.336,5.61,43.37,39.6,38.1,1.679,1.199,3
F084,Mwingi Central,Kivou,-0.88677,38.13391,0,2,8,20,0.58,0.44,0.1,0,2,1,42,38.7,1,1,3,365.5,28.0,18.740267650535323,18.82442920243178,0.467,6.34,31.3,59.6,25.2,2.773,1.636,4
F085,Mwingi Central,Nguutani,-0.84481,38.07832,1,6,10,59,2.92,1.94,0.22,0,3,1,43,39.1,0,1,3,330.9,32.49119308796259,17.885609384425653,16.860956320125734,0.428,5.56,28.07,31.8,46.1,1.925,1.251,4
F086,Mwingi North,Waita,-0.56684,37.96732,1,5,14,38,0.85,0.48,0.12,0,1,0,44,5.0,0,0,4,194.1,31.951813156523293,18.479207663192035,22.163561080690645,0.313,6.03,17.0,37.3,47.4,1.523,0.703,3
F087,Mwingi North,Nguni,-0.59083,38.28437,1,6,7,33,2.0,1.15,0.3,0,3,0,41,22.8,0,0,3,242.8,36.03440424983434,17.288079586760077,18.81626424867317,0.367,5.36,19.61,18.4,65.0,1.113,1.011,3
F088,Mwingi North,Nguni,-0.64374,38.02693,0,6,12,46,1.0,0.59,0.1,0,3,0,42,18.1,0,1,2,213.2,30.525353292999192,17.34694024505163,22.15985861557016,0.34,6.59,21.37,49.6,26.0,1.578,1.13,3
F089,Mwingi North,Waita,-0.64767,37.97201,0,3,0,45,1.9,1.29,0.27,0,1,0,46,0.0,0,0,2,289.9,31.768159400227802,17.024482180741487,20.278740171721115,0.363,6.11,16.55,30.0,50.2,1.381,0.894,3
F090,Mwingi North,Waita,-0.74068,38.07626,1,3,12,58,2.46,1.25,0.24,0,2,1,42,18.1,1,1,2,215.5,35.28880662733301,20.017994197750614,17.285844345859424,0.362,5.18,13.63,48.6,34.6,1.043,0.872,2
F091,Mwingi North,Waita,-0.76505,38.2872,0,5,8,47,1.71,1.18,0.21,0,1,0,42,0.0,0,0,1,187.0,33.3676987719932,18.809392701652392,20.1277664975038,0.324,5.8,4.94,47.5,36.5,1.172,0.904,4
F092,Mwingi North,Waita,-0.64845,38.09806,0,2,12,57,1.81,1.1,0.25,0,0,0,44,0.0,0,0,3,245.3,32.12279498505911,20.153391482828596,21.524295662719613,0.396,5.59,23.54,60.0,25.1,1.881,1.023,3
F093,Mwingi North,Nguni,-0.71992,38.00674,0,5,0,32,1.13,0.67,0.13,0,2,1,41,18.4,0,1,2,312.6,30.835731533759326,20.34569581617913,19.306048020993718,0.346,5.54,27.68,44.5,30.8,1.445,1.481,3
F094,Mwingi North,Tseikuru,-0.66277,37.97051,0,4,4,45,0.94,0.72,0.1,0,0,1,43,0.0,0,1,1,251.3,33.273840599125066,17.67215421115579,19.685073380853098,0.384,5.86,9.2,34.4,53.6,1.706,1.151,3
F095,Mwingi North,Waita,-0.69743,38.08949,0,3,8,30,1.29,0.82,0.17,0,1,1,42,70.9,0,1,1,277.9,32.435537484919806,20.086852971899415,18.121356729112303,0.301,5.43,22.26,42.5,42.8,1.357,1.148,3
F096,Mwingi North,Waita,-0.78519,37.9005,0,5,8,45,0.99,0.52,0.14,0,2,0,42,43.0,1,1,2,279.7,30.810775616544166,18.47458270051982,19.56025806619337,0.393,6.1,12.23,30.4,52.3,1.698,1.165,3
F097,Mwingi North,Nguni,-0.63499,37.96998,0,9,7,42,4.65,3.0,0.72,0,0,0,42,0.0,1,1,2,191.9,30.925137609078696,18.214387690137347,20.094745472005354,0.356,6.08,13.69,41.2,41.6,1.086,0.906,3
F098,Mwingi North,Nguni,-0.68902,38.25431,0,5,8,42,0.69,0.35,0.11,0,1,1,41,18.4,1,1,2,219.5,30.70816134822082,20.754260773989394,18.052960464703723,0.4,5.94,31.67,36.0,46.9,2.014,1.161,4
F099,Mwingi North,Tharaka,-0.65439,38.23233,1,5,4,42,2.08,1.49,0.26,0,3,0,42,0.0,1,0,2,260.3,30.316377649719463,19.496783233067777,16.801760158300866,0.401,5.79,10.02,37.3,50.1,1.761,1.007,3
F100,Mwingi North,Waita,-0.72252,38.08716,1,9,8,52,1.59,1.16,0.11,0,1,0,40,71.4,1,0,2,234.9,34.55487427193914,17.865636340885292,22.719926248957986,0.395,6.06,10.01,29.0,58.8,1.684,0.907,3
F101,Mwingi North,Tharaka,-0.68344,38.05343,0,8,12,24,1.36,0.82,0.21,0,1,0,44,0.0,0,0,3,336.7,34.258665388964964,19.379827967947968,21.010301264961853,0.438,6.12,40.55,41.0,45.2,1.481,1.373,2
F102,Mwingi North,Nguni,-0.55077,38.10585,1,2,8,33,2.7,2.02,0.24,0,2,0,42,26.8,1,1,2,204.7,34.55848380404875,16.22171722609474,18.13085473657154,0.309,5.98,15.29,46.2,30.1,1.431,0.962,2
F103,Mwingi North,Nguni,-0.651,38.3348,0,9,0,43,1.41,0.92,0.19,0,1,0,42,10.4,0,0,1,219.1,32.509899007290755,18.94516336605131,20.049143142895137,0.482,5.28,30.67,21.5,65.0,1.321,0.891,3
F104,Mwingi North,Tseikuru,-0.62153,38.1405,1,4,8,29,0.84,0.54,0.1,0,1,0,45,55.8,0,1,2,273.1,31.966216666839657,15.800735208455269,15.803553330817527,0.437,5.48,7.39,31.1,47.5,1.288,0.752,2
F105,Mwingi North,Waita,-0.74896,38.19097,1,7,0,44,1.41,0.72,0.25,1,3,0,43,0.0,1,0,2,231.7,32.00635935823906,16.72808067343727,15.0,0.3,5.69,7.7,39.7,38.9,1.469,1.019,3
F106,Mwingi North,Tharaka,-0.49277,38.07975,1,5,16,43,1.08,0.63,0.15,0,2,0,40,0.0,0,1,1,129.9,34.74642346039344,19.552351456884413,22.210332718694502,0.18,5.21,10.42,15.0,62.9,0.519,0.397,2
F107,Mwingi North,Nguni,-0.53096,38.10609,1,7,4,27,1.58,1.23,0.13,0,1,0,46,0.0,0,1,2,347.1,28.495674791609176,15.0,20.07387785065385,0.439,5.89,12.93,55.4,21.3,1.371,1.139,3
F108,Mwingi North,Nguni,-0.56456,38.16472,1,8,10,26,1.87,1.15,0.2,1,2,0,42,14.7,0,0,1,211.7,31.36813057261367,21.744521346334558,19.38074382628846,0.4,6.36,8.15,30.9,55.2,1.916,1.249,3
F109,Mwingi North,Tharaka,-0.60199,38.11261,1,5,16,20,0.75,0.5,0.11,0,3,1,41,0.0,0,1,2,285.2,30.547839619490283,20.00208689726828,20.081643012032384,0.409,6.3,19.78,28.6,58.0,2.254,1.472,4
F110,Mwingi North,Tseikuru,-0.65894,37.91026,0,4,12,29,2.31,1.52,0.17,1,1,0,44,0.0,1,0,2,203.6,35.4917526024945,15.190640379518472,25.0,0.222,6.1,20.44,35.9,47.1,2.183,0.92,4
